IP_INDEX,IP_LABEL,RECORDING_SESSION_LABEL,TRIAL_INDEX,IA_LABEL,IA_DWELL_TIME,IA_DWELL_TIME_%,IA_FIRST_RUN_DWELL_TIME,IA_FIRST_FIXATION_DURATION,IA_FIRST_FIXATION_TIME,IA_FIRST_RUN_FIXATION_COUNT,IA_FIXATION_COUNT,Accuracy,Remaining_Trials_Ortho,Response_Choice,Response_Time,Session_Name_,TASK2_POSITIONS,Trial_Index_,Trial_Number_Orthography,Trial_Recycled_,high_ortho,high_ortho_position,illegal_string,low_ortho,task,unpron_string,looked_all_four_IA,accuracy_high_low,accurate_trials,at_least_12_accurate,good_trial_count,has_12_good_trials,Group
.,Full Trial Period,c141097,1,High_Ortho_IA,2950,0.6001,328,90,314,2,8,Correct,17,High_Ortho,5088,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,1,UNDEFINED,brel,1,pjih,snek,1,kqwp,1,1,18,TRUE,12,1,TD
.,Full Trial Period,c141097,1,Low_Ortho_IA,572,0.1164,572,572,2050,1,1,Correct,17,High_Ortho,5088,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,1,UNDEFINED,brel,1,pjih,snek,1,kqwp,1,1,18,TRUE,12,1,TD
.,Full Trial Period,c141097,1,Illegal_IA,674,0.1371,286,286,1326,1,3,Correct,17,High_Ortho,5088,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,1,UNDEFINED,brel,1,pjih,snek,1,kqwp,1,1,18,TRUE,12,1,TD
.,Full Trial Period,c141097,1,Unpron_IA,332,0.0675,332,94,2668,2,2,Correct,17,High_Ortho,5088,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,1,UNDEFINED,brel,1,pjih,snek,1,kqwp,1,1,18,TRUE,12,1,TD
.,Full Trial Period,c141097,2,High_Ortho_IA,2126,0.5352,444,444,700,1,3,Correct,16,High_Ortho,3861,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,2,UNDEFINED,bril,2,fnoq,sqip,1,bkgv,1,1,18,TRUE,12,1,TD
.,Full Trial Period,c141097,2,Low_Ortho_IA,402,0.1012,402,402,1554,1,1,Correct,16,High_Ortho,3861,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,2,UNDEFINED,bril,2,fnoq,sqip,1,bkgv,1,1,18,TRUE,12,1,TD
.,Full Trial Period,c141097,2,Illegal_IA,868,0.2185,316,316,1184,1,2,Correct,16,High_Ortho,3861,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,2,UNDEFINED,bril,2,fnoq,sqip,1,bkgv,1,1,18,TRUE,12,1,TD
.,Full Trial Period,c141097,2,Unpron_IA,318,0.0801,318,318,330,1,1,Correct,16,High_Ortho,3861,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,2,UNDEFINED,bril,2,fnoq,sqip,1,bkgv,1,1,18,TRUE,12,1,TD
.,Full Trial Period,c141097,2,Unpron_IA,402,0.1012,402,402,1554,1,1,Correct,16,High_Ortho,3861,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,2,UNDEFINED,bril,2,fnoq,sqip,1,bkgv,1,1,18,TRUE,12,1,TD
.,Full Trial Period,c141097,3,High_Ortho_IA,1552,0.3152,874,874,432,1,3,Incorrect,15,Low_Ortho,5066,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,3,UNDEFINED,blar,1,sfuj,skub,1,gpvj,1,1,18,TRUE,12,1,TD
.,Full Trial Period,c141097,3,Low_Ortho_IA,1306,0.2652,272,272,1804,1,4,Incorrect,15,Low_Ortho,5066,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,3,UNDEFINED,blar,1,sfuj,skub,1,gpvj,1,1,18,TRUE,12,1,TD
.,Full Trial Period,c141097,3,Illegal_IA,144,0.0292,144,144,1346,1,1,Incorrect,15,Low_Ortho,5066,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,3,UNDEFINED,blar,1,sfuj,skub,1,gpvj,1,1,18,TRUE,12,1,TD
.,Full Trial Period,c141097,3,Unpron_IA,174,0.0353,174,68,1570,2,2,Incorrect,15,Low_Ortho,5066,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,3,UNDEFINED,blar,1,sfuj,skub,1,gpvj,1,1,18,TRUE,12,1,TD
.,Full Trial Period,c141097,4,High_Ortho_IA,530,0.1358,530,530,1782,1,1,Incorrect,14,Low_Ortho,3966,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,4,UNDEFINED,dren,4,zhux,wrop,1,xwsx,0,1,18,TRUE,12,1,TD
.,Full Trial Period,c141097,4,Low_Ortho_IA,2062,0.5284,352,352,332,1,4,Incorrect,14,Low_Ortho,3966,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,4,UNDEFINED,dren,4,zhux,wrop,1,xwsx,0,1,18,TRUE,12,1,TD
