participant_id,OrthoET_trial_number,OrthoET_trial_order,OrthoET_high,OrthoET_low,OrthoET_illegal,OrthoET_unpron,OrthoET_high_position,OrthoET_IA_label,OrthoET_response_time,OrthoET_response_choice,OrthoET_response_choice_accuracy_high,OrthoET_response_choice_accuracy_highlow,OrthoET_IA_fixation_count,OrthoET_IA_fixation_%,OrthoET_IA_dwell_time,OrthoET_IA_dwell_time%,OrthoET_IA_run_count,OrthoET_IA_first_run_fixation_count,OrthoET_IA_first_run_fixation%,OrthoET_IA_first_run_dwell_time,Ortho_ET_IA_inclusion,Ortho_ET_accuracy,accurate_trials,Ortho_ET_accuracy_inclusion,Ortho_ET_met_both_inclusion_count,Ortho_ET_met_both_inclusion
c141097,1,1,brel,snek,pjih,kqwp,1,High_Ortho_IA,5088,High_Ortho,1,1,8,0.5,2950,0.6001,5,2,0.125,328,1,1,18,TRUE,18,1
c141097,1,1,brel,snek,pjih,kqwp,1,Low_Ortho_IA,5088,High_Ortho,1,1,1,0.0625,572,0.1164,1,1,0.0625,572,1,1,18,TRUE,18,1
c141097,1,1,brel,snek,pjih,kqwp,1,Illegal_IA,5088,High_Ortho,1,1,3,0.1875,674,0.1371,2,1,0.0625,286,1,1,18,TRUE,18,1
c141097,1,1,brel,snek,pjih,kqwp,1,Unpron_IA,5088,High_Ortho,1,1,2,0.125,332,0.0675,1,2,0.125,332,1,1,18,TRUE,18,1
c141097,2,2,bril,sqip,fnoq,bkgv,2,High_Ortho_IA,3861,High_Ortho,1,1,3,0.3333,2126,0.5352,2,1,0.1111,444,1,1,18,TRUE,18,1
c141097,2,2,bril,sqip,fnoq,bkgv,2,Low_Ortho_IA,3861,High_Ortho,1,1,1,0.1111,402,0.1012,1,1,0.1111,402,1,1,18,TRUE,18,1
c141097,2,2,bril,sqip,fnoq,bkgv,2,Illegal_IA,3861,High_Ortho,1,1,2,0.2222,868,0.2185,2,1,0.1111,316,1,1,18,TRUE,18,1
c141097,2,2,bril,sqip,fnoq,bkgv,2,Unpron_IA,3861,High_Ortho,1,1,1,0.1111,318,0.0801,1,1,0.1111,318,1,1,18,TRUE,18,1
c141097,3,3,blar,skub,sfuj,gpvj,1,High_Ortho_IA,5066,Low_Ortho,0,1,3,0.1875,1552,0.3152,3,1,0.0625,874,1,1,18,TRUE,18,1
c141097,3,3,blar,skub,sfuj,gpvj,1,Low_Ortho_IA,5066,Low_Ortho,0,1,5,0.3125,1362,0.2766,4,1,0.0625,56,1,1,18,TRUE,18,1
